Treatment,Strategy,Yi,Human,PD,PDp
T1,TFT_B,36,y,y,n
T3,TFT_C,0,y,y,y
T1,TFT_C,44,y,y,m
T1,TFT_B,66,n,y,n
T3,TFT_B,100,n,n,n
T1,TFT_B,18,y,y,n
T2,TFT_B,50,n,y,y
T3,TFT_B,100,n,y,n
T2,TFT_C,44,y,n,n
T2,TFT_B,100,n,y,n
T2,TFT_C,0,y,y,n
T2,TFT_B,12,n,y,n
T1,TFT_C,100,n,y,n
T3,TFT_C,36,y,n,n
T3,TFT_C,100,y,y,y
T3,TFT_C,28,y,y,n
T1,TFT_C,12,n,y,n
T2,TFT_C,100,y,y,n
T2,TFT_C,0,n,y,y
T2,TFT_B,100,n,y,n
T1,TFT_B,100,n,y,y
T3,TFT_B,38,y,y,n
T1,TFT_C,100,n,y,y
T3,TFT_B,0,y,y,y
T1,TFT_C,100,n,y,y
T3,TFT_C,100,n,y,n
T1,TFT_B,48,y,y,n
T2,TFT_C,36,y,y,y
T3,TFT_B,52,n,n,n
T2,TFT_B,100,n,n,y
